GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0002181	cytoplasmic translation	121	1223	9.89%	170	6486	2.62%	YAL005C, YAL035W, YBL027W, YBL087C, YBL092W, YBR031W, YBR079C, YBR084C-A, YBR191W, YCR077C, YDL061C, YDL075W, YDL081C, YDL082W, YDL130W, YDL136W, YDL191W, YDL229W, YDR012W, YDR328C, YDR382W, YDR418W, YDR429C, YDR447C, YDR450W, YDR471W, YEL034W, YEL054C, YER025W, YER056C-A, YER074W, YER117W, YER131W, YFR031C-A, YGL030W, YGL076C, YGL103W, YGL135W, YGL147C, YGL189C, YGR027C, YGR034W, YGR085C, YGR162W, YGR173W, YHL001W, YHL033C, YHR010W, YHR064C, YHR141C, YHR203C, YIL018W, YIL052C, YIL069C, YIL133C, YIL148W, YJL138C, YJL190C, YJL191W, YJR007W, YJR094W-A, YJR145C, YKL006W, YKL056C, YKL180W, YKR059W, YKR094C, YLL045C, YLR029C, YLR048W, YLR061W, YLR075W, YLR185W, YLR192C, YLR264W, YLR287C-A, YLR325C, YLR340W, YLR344W, YLR367W, YLR441C, YLR448W, YML024W, YML026C, YML063W, YML073C, YMR142C, YMR146C, YMR242C, YMR260C, YNL067W, YNL069C, YNL096C, YNL162W, YNL178W, YNL209W, YNL244C, YNL301C, YOL039W, YOL040C, YOL120C, YOL127W, YOL139C, YOR096W, YOR182C, YOR204W, YOR234C, YOR293W, YOR312C, YOR361C, YPL009C, YPL131W, YPL143W, YPL203W, YPL220W, YPL237W, YPL249C-A, YPR041W, YPR043W, YPR102C, YPR163C
GO:0055086	nucleobase-containing small molecule metabolic process	116	1223	9.48%	186	6486	2.87%	YAL038W, YAL054C, YAR015W, YBL039C, YBL099W, YBR039W, YBR117C, YBR145W, YBR196C, YBR221C, YBR252W, YCL040W, YCL050C, YCR012W, YDL004W, YDL022W, YDL055C, YDL078C, YDL085W, YDL103C, YDL125C, YDR050C, YDR226W, YDR298C, YDR322C-A, YDR399W, YDR454C, YDR481C, YEL021W, YER003C, YER043C, YER070W, YER178W, YFR047C, YFR053C, YGL037C, YGL234W, YGL253W, YGR061C, YGR180C, YGR192C, YGR193C, YGR204W, YGR240C, YGR244C, YGR248W, YGR254W, YGR256W, YHR074W, YHR163W, YHR174W, YHR183W, YHR216W, YIL155C, YJL026W, YJL052W, YJL121C, YJL130C, YJR009C, YJR025C, YJR051W, YJR069C, YJR103W, YJR105W, YJR121W, YKL016C, YKL024C, YKL035W, YKL060C, YKL127W, YKL151C, YKL152C, YKL216W, YKR080W, YLR028C, YLR153C, YLR209C, YLR231C, YLR354C, YLR359W, YLR432W, YML022W, YML035C, YML106W, YML120C, YMR083W, YMR105C, YMR120C, YMR145C, YMR205C, YMR208W, YMR217W, YMR246W, YMR300C, YMR303C, YMR315W, YNL071W, YNL200C, YNL220W, YNL241C, YNR001C, YOL059W, YOL086C, YOR074C, YOR128C, YOR142W, YOR163W, YOR184W, YOR209C, YOR317W, YOR374W, YPL061W, YPL078C, YPL271W, YPL273W, YPR074C
GO:0006520	amino acid metabolic process	97	1223	7.93%	143	6486	2.20%	YAL012W, YAL044C, YAL062W, YBR006W, YBR115C, YCL009C, YCL018W, YCR053W, YDL066W, YDL131W, YDL171C, YDL182W, YDR019C, YDR158W, YDR234W, YDR300C, YDR321W, YDR354W, YDR502C, YEL038W, YEL046C, YER023W, YER043C, YER052C, YER069W, YER081W, YER086W, YER090W, YER091C, YFL018C, YFL030W, YFR047C, YGL009C, YGL026C, YGL125W, YGL148W, YGL202W, YGR019W, YGR087C, YGR124W, YGR155W, YHR018C, YHR025W, YHR037W, YHR205W, YHR208W, YIL051C, YIL074C, YIL094C, YIR034C, YJL088W, YJL130C, YJR016C, YJR025C, YJR109C, YJR139C, YJR148W, YKL029C, YKL211C, YLR017W, YLR027C, YLR044C, YLR089C, YLR134W, YLR155C, YLR157C, YLR158C, YLR160C, YLR180W, YLR231C, YLR303W, YLR355C, YLR438W, YMR062C, YMR108W, YMR110C, YMR116C, YMR169C, YMR170C, YMR189W, YMR250W, YNL037C, YNL104C, YNL135C, YNL239W, YNR050C, YOL058W, YOL064C, YOL140W, YOR136W, YOR184W, YOR303W, YOR323C, YOR375C, YPL273W, YPR035W, YPR145W
GO:0042221	response to chemical	87	1223	7.11%	408	6486	6.29%	YAL023C, YBL047C, YBR006W, YBR046C, YBR082C, YBR101C, YBR126C, YBR245C, YCL035C, YCL043C, YCR083W, YCR084C, YCR093W, YDL022W, YDL095W, YDL100C, YDL124W, YDL126C, YDL168W, YDR001C, YDR135C, YDR177W, YDR346C, YDR353W, YDR368W, YDR372C, YDR513W, YDR533C, YEL047C, YER042W, YER089C, YER133W, YFL014W, YFL038C, YGR043C, YGR088W, YGR116W, YGR234W, YHR029C, YHR104W, YHR135C, YHR183W, YIL010W, YIL015W, YIR037W, YJL034W, YJL055W, YJL068C, YJL080C, YJR096W, YJR104C, YJR117W, YJR143C, YKL126W, YKL150W, YKR066C, YKR071C, YLR027C, YLR109W, YLR113W, YLR208W, YLR220W, YLR378C, YML028W, YML086C, YMR116C, YMR250W, YNL007C, YNL036W, YNL064C, YNL098C, YNL123W, YNL134C, YNL153C, YNL154C, YNL173C, YNL180C, YNL231C, YNL239W, YNL241C, YOR120W, YOR153W, YOR259C, YOR270C, YPL091W, YPL203W, YPL239W
GO:0006364	rRNA processing	82	1223	6.70%	331	6486	5.10%	YAL035W, YBL072C, YBR048W, YBR181C, YBR189W, YDL014W, YDL060W, YDL083C, YDL136W, YDL191W, YDL208W, YDL229W, YDR025W, YDR064W, YDR280W, YDR299W, YDR378C, YDR450W, YEL026W, YER006W, YER074W, YER102W, YER125W, YER131W, YGL030W, YGL076C, YGL078C, YGL120C, YGL173C, YGL189C, YGR090W, YGR103W, YGR118W, YGR159C, YGR285C, YHL001W, YHL015W, YHL033C, YHR021C, YHR064C, YIL069C, YIL133C, YJL050W, YJL109C, YJL136C, YJL191W, YJR123W, YKL006W, YKL156W, YKL180W, YLL045C, YLR048W, YLR106C, YLR167W, YLR175W, YLR185W, YLR192C, YLR197W, YLR441C, YML010W, YML026C, YML063W, YMR049C, YMR143W, YMR229C, YMR290C, YNL061W, YNL069C, YNL112W, YNL209W, YOL021C, YOR063W, YOR310C, YOR369C, YPL012W, YPL090C, YPL093W, YPL143W, YPL217C, YPL235W, YPR016C, YPR132W
GO:0006629	lipid metabolic process	80	1223	6.54%	302	6486	4.66%	YBL039C, YBR026C, YBR029C, YBR109C, YBR159W, YBR160W, YBR177C, YDL052C, YDL078C, YDL110C, YDL192W, YDR062W, YDR294C, YDR346C, YDR372C, YER015W, YER043C, YER120W, YER125W, YGL001C, YGL012W, YGR037C, YGR157W, YGR175C, YHR001W, YHR007C, YHR042W, YHR188C, YHR190W, YHR205W, YIL124W, YJL002C, YJL167W, YJR073C, YKL094W, YKL126W, YKL150W, YKL182W, YKL192C, YKL212W, YKR009C, YKR067W, YLR100W, YLR347C, YLR380W, YLR386W, YLR450W, YML008C, YML072C, YML075C, YML126C, YMR015C, YMR079W, YMR110C, YMR208W, YMR246W, YMR296C, YNL045W, YNL087W, YNL123W, YNL202W, YNL219C, YNL231C, YNR016C, YNR043W, YOL147C, YOL151W, YOR086C, YOR317W, YPL028W, YPL031C, YPL110C, YPL117C, YPL145C, YPL170W, YPL231W, YPR001W, YPR002W, YPR113W, YPR183W
GO:0005975	carbohydrate metabolic process	70	1223	5.72%	147	6486	2.27%	YAL017W, YAL038W, YBR126C, YBR145W, YBR149W, YBR160W, YBR196C, YBR218C, YBR229C, YCL018W, YCL040W, YCR012W, YDL085W, YDL236W, YDR050C, YDR099W, YDR368W, YDR516C, YEL011W, YER062C, YER065C, YER133W, YER177W, YFR053C, YGL027C, YGL062W, YGL156W, YGL253W, YGR032W, YGR192C, YGR240C, YGR254W, YHL032C, YHR043C, YHR047C, YHR104W, YHR174W, YIL053W, YIL155C, YJL034W, YJL052W, YJR009C, YJR096W, YKL035W, YKL060C, YKL127W, YKL152C, YKR097W, YLR044C, YLR134W, YLR258W, YLR300W, YLR342W, YLR377C, YML028W, YML070W, YMR099C, YMR105C, YMR145C, YMR205C, YNL117W, YOL030W, YOL059W, YOL086C, YOL126C, YOR120W, YPL031C, YPR160W, YPR165W, YPR184W
GO:0051603	proteolysis involved in protein catabolic process	65	1223	5.31%	218	6486	3.36%	YAL005C, YAL023C, YBL022C, YBL041W, YBL075C, YBR082C, YBR101C, YBR169C, YCL043C, YDL007W, YDL095W, YDL097C, YDL126C, YDR002W, YDR170C, YDR177W, YDR328C, YDR394W, YDR427W, YER012W, YER021W, YER094C, YER125W, YFR004W, YFR010W, YFR050C, YFR052W, YGL011C, YGL048C, YGR135W, YGR253C, YHR027C, YHR200W, YIL075C, YJL001W, YJL034W, YJL172W, YJR017C, YJR117W, YKL054C, YKL100C, YKL145W, YLL024C, YLR208W, YLR378C, YLR421C, YML092C, YMR314W, YNL007C, YNL064C, YNL123W, YNL153C, YOL038W, YOR042W, YOR117W, YOR157C, YOR197W, YOR259C, YOR261C, YOR362C, YPL009C, YPL106C, YPL154C, YPR103W, YPR108W
GO:0032787	monocarboxylic acid metabolic process	63	1223	5.15%	128	6486	1.97%	YAL038W, YAL054C, YBL015W, YBR006W, YBR026C, YBR159W, YBR177C, YBR196C, YBR221C, YCL018W, YCL040W, YCR012W, YDL078C, YDL110C, YDL174C, YDL178W, YDL192W, YDR050C, YDR533C, YEL071W, YER015W, YER065C, YER073W, YER125W, YER178W, YFL018C, YFR053C, YGL253W, YGR019W, YGR037C, YGR192C, YGR193C, YGR240C, YGR254W, YHR063C, YHR174W, YJL052W, YJL060W, YJR009C, YKL029C, YKL060C, YKL152C, YKL182W, YKL192C, YKR009C, YLR044C, YLR134W, YLR380W, YML004C, YMR205C, YNL071W, YNL117W, YNL202W, YNL274C, YNR016C, YOL147C, YOR347C, YOR374W, YPL061W, YPL231W, YPR001W, YPR002W, YPR069C
GO:0006366	transcription by RNA polymerase II	60	1223	4.91%	489	6486	7.54%	YBR089C-A, YBR112C, YBR154C, YBR160W, YBR245C, YCR084C, YCR093W, YDL084W, YDL140C, YDR174W, YDR190C, YDR225W, YDR394W, YDR432W, YER063W, YER125W, YER177W, YFL028C, YFR037C, YGL048C, YGL130W, YGL173C, YGL207W, YGR116W, YGR200C, YHR205W, YIL033C, YJR017C, YJR060W, YJR104C, YKL054C, YKL145W, YKR048C, YLL029W, YLR113W, YLR200W, YML010W, YML069W, YMR039C, YNL112W, YNL135C, YNL153C, YNL216W, YNL239W, YNL288W, YOL004W, YOL012C, YOL145C, YOR117W, YOR151C, YOR224C, YOR230W, YOR259C, YOR298C-A, YPL031C, YPL048W, YPL190C, YPL235W, YPR034W, YPR133C
